System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM+1.0) rhol rhos viscosity aH2O chisqr
143 500.00 854.42 18.901567 0.9836735176286114 0.978788 -251164.047617 48.091930 8.395136 25.568856 -209.704910 766.126660 -12.338 0.000 2.262728 1.732932 5.562 n/a n/a
144 500.00 849.43 18.608347 0.9497222615810808 0.931743 -247492.693517 47.140232 8.389424 25.054384 -530.803924 931.733601 -12.434 0.000 2.260873 1.633821 5.584 n/a n/a
145 500.00 844.45 17.685979 0.9487650645986790 0.930597 -235352.836003 44.716989 7.982231 23.775709 -511.250521 890.235309 -12.531 0.000 2.258926 1.635649 5.601 n/a n/a
146 500.00 839.47 16.793053 0.9533009042568106 0.936996 -223572.522518 42.392630 7.569615 22.552776 -443.796565 822.985513 -12.629 0.000 2.257086 1.644357 5.617 n/a n/a
147 500.00 834.49 16.021717 0.9564271633068041 0.941413 -213408.397552 40.379606 7.217911 21.490806 -397.161383 771.149455 -12.727 0.000 2.255118 1.650863 5.640 n/a n/a
148 500.00 829.51 15.337084 0.9605178841288576 0.947207 -204414.085514 38.591164 6.901793 20.552748 -345.272891 719.027340 -12.827 0.000 2.253416 1.661899 5.656 n/a n/a
149 500.00 824.53 14.746399 0.9633531412351035 0.951314 -196638.763070 37.041308 6.631622 19.740184 -308.668027 678.534961 -12.927 0.000 2.251789 1.673793 5.671 n/a n/a
150 500.00 819.55 14.220850 0.9659113267310359 0.954949 -189739.540931 35.659599 6.392278 19.017075 -278.081838 643.551550 -13.028 0.000 2.250230 1.683359 5.687 n/a n/a
151 500.00 814.57 13.750945 0.9681652446988656 0.958154 -183578.820125 34.420693 6.178865 18.369903 -252.274692 613.061639 -13.130 0.000 2.248733 1.693057 5.702 n/a n/a
152 500.00 809.58 13.328057 0.9701639390075081 0.960997 -178042.006626 33.302466 5.987282 17.786952 -230.294085 586.263239 -13.234 0.000 2.247295 1.702877 5.717 n/a n/a
153 500.00 804.60 12.945276 0.9719473770380039 0.963535 -173037.341475 32.287189 5.814256 17.258834 -211.408848 562.529102 -13.338 0.000 2.245911 1.712815 5.733 n/a n/a
154 500.00 799.62 12.597007 0.9735482361736959 0.965812 -168490.573612 31.360509 5.657147 16.777945 -195.051358 541.363121 -13.443 0.000 2.244578 1.722873 5.748 n/a n/a
155 500.00 794.64 12.278680 0.9749933341053212 0.967868 -164341.019379 30.510691 5.513801 16.338067 -180.776388 522.368822 -13.549 0.000 2.243294 1.733058 5.764 n/a n/a
156 500.00 789.66 11.986242 0.9763279776048810 0.969743 -160537.273980 29.727542 5.382393 15.933818 -168.229320 505.222575 -13.656 0.000 2.242058 1.742267 5.780 n/a n/a
157 500.00 784.68 11.716549 0.9775728719589142 0.971465 -157037.678983 29.002994 5.261453 15.560919 -157.129074 489.664281 -13.764 0.000 2.240867 1.750203 5.796 n/a n/a
158 500.00 779.70 11.467004 0.9721302042308761 0.963793 -153817.498930 28.320884 5.164252 15.209208 -184.412763 499.359842 -13.873 0.000 2.239665 1.709168 5.802 n/a n/a
159 500.00 774.72 11.160652 0.9450471694687942 0.926448 -149840.407743 27.478548 5.086353 14.764571 -326.560574 582.883764 -13.983 0.000 2.238286 1.639374 5.764 n/a n/a
160 500.00 769.74 10.560610 0.9498406381717774 0.933206 -141775.097514 25.993789 4.805092 13.970756 -281.654224 538.430375 -14.094 0.000 2.236971 1.650453 5.729 n/a n/a
161 500.00 764.75 10.044196 0.9539256146198545 0.938991 -134843.221352 24.713684 4.564057 13.287554 -245.649439 501.748721 -14.206 0.000 2.235720 1.661988 5.697 n/a n/a
162 500.00 759.77 9.594744 0.9574365630247627 0.943983 -128818.078640 23.597492 4.355050 12.692988 -216.332873 471.043538 -14.320 0.000 2.234530 1.674002 5.667 n/a n/a
163 500.00 754.79 9.199713 0.9604785283268548 0.948325 -123529.215908 22.614557 4.171941 12.170508 -192.129480 445.014136 -14.434 0.000 2.233400 1.686518 5.639 n/a n/a
164 500.00 749.81 8.849462 0.9618945639780961 0.952130 -118846.277581 21.741415 4.010065 11.707442 -171.898728 422.701415 -14.550 0.000 2.229444 1.756675 5.615 n/a n/a
