Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
22 500.00 1337.00 3.776043 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
23 500.00 1334.00 1.933175 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
24 500.00 1331.00 2.862204 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
23 500.00 1334.00 3.775261 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
25 500.00 1328.00 2.861397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
24 500.00 1331.00 1.932360 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
24 500.00 1331.00 3.774475 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
25 500.00 1328.00 1.931541 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
26 500.00 1325.00 2.860585 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
25 500.00 1328.00 3.773684 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
26 500.00 1325.00 1.930717 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
27 500.00 1322.00 2.859770 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
26 500.00 1325.00 3.772890 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
27 500.00 1322.00 1.929889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
28 500.00 1319.00 2.858950 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
27 500.00 1322.00 3.772091 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
28 500.00 1319.00 1.929056 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
29 500.00 1316.00 2.858125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
28 500.00 1319.00 3.771288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
29 500.00 1316.00 1.928219 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
30 500.00 1313.00 2.857296 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
29 500.00 1316.00 3.770480 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
30 500.00 1313.00 1.927378 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
31 500.00 1310.00 2.856463 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
30 500.00 1313.00 3.769668 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
31 500.00 1310.00 1.926531 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
32 500.00 1307.00 2.855625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
31 500.00 1310.00 3.768852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
32 500.00 1307.00 1.925680 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
33 500.00 1304.00 2.854782 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
32 500.00 1307.00 3.768031 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
33 500.00 1304.00 1.924825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
34 500.00 1301.00 2.853935 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
33 500.00 1304.00 3.767206 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
34 500.00 1301.00 1.923965 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
35 500.00 1298.00 2.853083 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
34 500.00 1301.00 3.766376 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
36 500.00 1295.00 2.852226 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
35 500.00 1298.00 1.923100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
35 500.00 1298.00 3.765541 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
37 500.00 1292.00 2.851365 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
36 500.00 1295.00 1.922230 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
36 500.00 1295.00 3.764703 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
38 500.00 1289.00 2.850499 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
37 500.00 1292.00 1.921355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
37 500.00 1292.00 3.763859 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
39 500.00 1286.00 2.849628 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
38 500.00 1289.00 1.920476 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
38 500.00 1289.00 3.763011 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
40 500.00 1283.00 2.848753 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
39 500.00 1286.00 1.919592 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
39 500.00 1286.00 3.762158 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
41 500.00 1280.00 2.847872 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
40 500.00 1283.00 1.918703 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
40 500.00 1283.00 3.761301 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
42 500.00 1277.00 2.846987 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
41 500.00 1280.00 1.917809 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
41 500.00 1280.00 3.760438 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
43 500.00 1274.00 2.846097 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
42 500.00 1277.00 1.916910 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
42 500.00 1277.00 3.759571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
